dtxsid,aver_toxvalmgL,error,species_common,toxval_type,exactMass,molformula,aver_toxval_cm,weight
DTXSID3020122,-0.6992416081749948,0.36048855705287197,fathead minnow,LC50stat,317.005770604,C10H12N3O3PS2,-3.200308776129857,3.334841344536803
DTXSID7020182,0.6720978579357175,-0.2,fathead minnow,LC50stat,228.115029755,C15H16O2,-1.6860560425299866,3.334841344536803
DTXSID3020207,-0.9430283238465815,0.14991186225266262,fathead minnow,LC50stat,240.074621494,C10H12N2O5,-3.323374576666401,5
DTXSID9020243,-0.6989700043360187,-0.2,fathead minnow,LC50stat,298.9341328,C9H8Cl3NO2S,-3.1745455106779525,3.334841344536803
DTXSID9020247,0.8260748027008264,0.25703832654165926,fathead minnow,LC50stat,201.078978598,C12H11NO2,-1.4772918678159281,3.9494018598512253
DTXSID9020249,0.29885307640970665,0.20688572754981943,fathead minnow,LC50stat,221.105193347,C12H15NO3,-2.0457458670530255,3.9494018598512253
DTXSID9020407,0.7093991452951768,0.1974519446068408,fathead minnow,LC50stat,304.101050716,C12H21N2O3PS,-1.7736187754059187,5
DTXSID0020442,2.419955748489758,0.20013500499919848,fathead minnow,LC50stat,219.9693995,C8H6Cl2O3,0.07759347927040423,3.9494018598512253
DTXSID0020446,1.1522883443830565,-0.2,fathead minnow,LC50stat,232.0170184,C9H10Cl2N2O,-1.2132314970860334,3.334841344536803
DTXSID5020449,0.8332589902774403,0.32696475992143476,fathead minnow,LC50stat,219.9459011,C4H7Cl2O4P,-1.5090568826222157,3.334841344536803
DTXSID4020458,-0.8860566476931632,0.07621551588610799,fathead minnow,LC50stat,348.9262845,C9H11Cl3NO3PS,-3.428790333631233,5
DTXSID8020628,1.8129133566428555,-0.2,fathead minnow,LC50stat,232.082347471,C10H11F3N2O,-0.5527287519841622,3.334841344536803
DTXSID1020807,1.0413926851582251,-0.2,fathead minnow,LC50stat,166.986341513,C7H5NS2,-1.18128826474312,3.334841344536803
DTXSID2021028,2.88930170250631,-0.2,fathead minnow,LC50stat,102.07931295,C4H10N2O,0.8803639641604527,3.334841344536803
DTXSID7021029,2.9731278535996988,-0.2,fathead minnow,LC50stat,74.048012821,C2H6N2O,1.1036144454683907,3.334841344536803
DTXSID7021100,0.22800071860422622,0.1511375713762342,fathead minnow,LC50stat,291.033030727,C10H14NO5PS,-2.2359415633314876,5
DTXSID7021106,-0.6020599913279624,0.28833174912509096,fathead minnow,LC50stat,263.8470032,C6HCl5O,-3.023412157110028,3.9494018598512253
