dtxsid;split_first;aver_toxval_cm;weight;exactMass;Un55;Un56;Un57;Un70;Un72;Un77;Un82;Un142;Un189;Un191;Un197;Un300;Un329;Un333;Un341;Un354;Un355;Un356;Un359;Un361;Un385;Un404;Un409;Un418;Un428;Un430;Un434;Un435;Un438;Un440;Un441;Un443;Un445;Un447;Un448;Un450;Un451;Un452;Un454;Un456;Un458;Un461;Un463;Un465;Un467;Un469;Un470;Un472;Un473;Un474;Un475;Un476;Un477;Un481;Un483;Un486;Un487;Un489;Un492;Un493;Un494;Un497;Un499;Un502;Un509;Un510;Un511;Un516;Un517;Un521;Un674;Un709;Un720;Un813;Un814;Un867;Un881;Un884;Un913;Un918;Un931;Un940;Un948;Un949;Un959;Un967;Un980;Un1039;Un1044;Un1047;Un1056;Un1057;Un1063;Un1067;Un1079;Un1094;Un1099;Un1104;Un1105;Un1121;Un1132;Un1135;Un1141;Un1142;Un1145;Un1148;Un1156;Un1164;Un1171;Un1173;Un1174;Un1184;Un1190;Un1191;Un1195;Un1200;Un1202;Un1207;Un1209;Un1210;Un1224;Un1225;Un1226;Un1227;Un1240;Un1242;Un1262;Un1283;Un1284;Un1292;Un1304;Un1409;Un1410;Un1426;Un1428;Un1500;Un1706;Un1790;Un1875;Un1912;Un2085;Un2247;Un2562;Un2568;Un2974;Un3050;Un3053;Un3062;Un3672;Un3956;Un4003;Un4075;Un4263;Un4632;Un4736;Un4803;Un4807;Un4816;Un4848;Un4999;Un5004;Un5010;Un5048;Un5068;Un5090;Un5100;Un5109;Un5112;Un5117;Un5130;Un5135;Un5148;Un5157;Un5158;Un5190;Un5198;Un5290;Un5334;Un5351;Un5427;Un5645;Un6137;Un6221;Un8236;Un8310;Un8341;Un8390;Un8406;Un8421;Un8428;Un8433;Un8438;toxval_pred_log
DTXSID4021395; TRAIN;-3.4933321885908204;3.334841344536803;335.109290496;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;1;0;1;1;0;1;1;0;1;1;0;0;1;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;-3.2234537601470947
DTXSID4022991; TRAIN;-1.4851659273625988;3.334841344536803;733.461241221;1;1;1;1;0;1;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;1;0;1;0;1;1;0;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;1;1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;-1.9951906204223633
DTXSID7038317; TRAIN;-5.99326026546635;3.334841344536803;196.9201968;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.6724791526794434
DTXSID7024081; TRAIN;-0.5858690035653541;3.334841344536803;186.052823422;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;-1.3395394086837769
DTXSID7030307; TRAIN;-2.1575536430136415;3.334841344536803;160.9799046;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.8019952774047852
DTXSID6020515; TRAIN;2.2966774016920573;5;73.052763849;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.9774127006530762
DTXSID3021932; TRAIN;0.015910655290317002;2.5605866619521502;105.078978598;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5050866007804871
DTXSID8020090; TRAIN;-2.6935654448065685;3.334841344536803;93.057849229;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.58451247215271
DTXSID4020161; TRAIN;-1.865522043323961;3.9494018598512253;154.078250322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.2034660577774048
DTXSID9020168; TRAIN;0.2279375158656724;3.334841344536803;141.9952203;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.44462770223617554
