absoluteIndex,description,rowpos,rowneg,fp_type,colnam
55,[CX4H3][#6] (Primary_carbon),28,28,CDK_Substructure,Un55
56,[CX4H2]([#6])[#6] (Secondary_carbon),29,29,CDK_Substructure,Un56
57,[CX4H1]([#6])([#6])[#6] (Tertiary_carbon),30,30,CDK_Substructure,Un57
59,"[CX3;$([H2]),$([H1][#6]),$(C([#6])[#6])]=[CX3;$([H2]),$([H1][#6]),$(C([#6])[#6])]  (Alkene)",31,31,CDK_Substructure,Un59
63,[FX1][CX4] (Alkylfluoride),34,32,CDK_Substructure,Un63
66,"[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15])] (Alcohol)",35,33,CDK_Substructure,Un66
70,"[OX2]([CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([OX2])[O,S,#7,#15])] (Dialkylether)",36,34,CDK_Substructure,Un70
71,"[SX2]([CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([OX2])[O,S,#7,#15])] (Dialkylthioether)",37,35,CDK_Substructure,Un71
72,"[OX2](c)[CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])] (Alkylarylether)",38,36,CDK_Substructure,Un72
77,"[NX3+0,NX4+;!$([N]~[!#6]);!$([N]*~[#7,#8,#15,#16])] (Amine)",40,37,CDK_Substructure,Un77
78,"[NX3H2+0,NX4H3+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])] (Primary_aliph_amine)",41,38,CDK_Substructure,Un78
79,"[NX3H1+0,NX4H2+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])] (Secondary_aliph_amine)",42,39,CDK_Substructure,Un79
80,"[NX3H0+0,NX4H1+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])] (Tertiary_aliph_amine)",43,40,CDK_Substructure,Un80
81,"[NX4H0+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])] (Quaternary_aliph_ammonium)",44,41,CDK_Substructure,Un81
82,"[NX3H2+0,NX4H3+]c (Primary_arom_amine)",45,42,CDK_Substructure,Un82
90,"[SX2H][CX4;!$(C([SX2H])~[O,S,#7,#15])] (Alkylthiol)",48,43,CDK_Substructure,Un90
91,"[SX2]([CX4;!$(C([SX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([SX2])[O,S,#7,#15])] (Dialkylthioether)",49,44,CDK_Substructure,Un91
92,"[SX2](c)[CX4;!$(C([SX2])[O,S,#7,#15])] (Alkylarylthioether)",50,45,CDK_Substructure,Un92
94,"[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15,F,Cl,Br,I])][CX4;!$(C([N])[O,S,#7,#15])][NX3;!$(NC=[O,S,N])] (1,2-Aminoalcohol)",51,46,CDK_Substructure,Un94
117,"[NX3v3,SX2,OX2;!$(*C=[#7,#8,#15,#16])][CX4;!$(C([N,S,O])([N,S,O])[!#6])][FX1,ClX1,BrX1,IX1,NX3v3,SX2,OX2;!$(*C=[#7,#8,#15,#16])] (Acetal_like)",54,49,CDK_Substructure,Un117
128,"[OX2]([#6;!$(C=[N,O,S])])[CX3;$([H0][#6]),$([H1])]=[CX3] (Enolether)",57,51,CDK_Substructure,Un128
139,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[OX2][#6;!$(C=[O,N,S])] (Carboxylic_ester)",58,52,CDK_Substructure,Un139
140,"[#6][#6X3R](=[OX1])[#8X2][#6;!$(C=[O,N,S])] (Lactone)",59,53,CDK_Substructure,Un140
142,"[$([#6X3H0][#6]),$([#6X3H])](=[!#6])[!#6] (Carboxylic_acid_derivative)",60,54,CDK_Substructure,Un142
152,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])] (Amide)",62,55,CDK_Substructure,Un152
153,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[NX3H2] (Primary_amide)",63,56,CDK_Substructure,Un153
154,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[#7X3H1][#6;!$(C=[O,N,S])] (Secondary_amide)",64,57,CDK_Substructure,Un154
155,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[#7X3H0]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])] (Tertiary_amide)",65,58,CDK_Substructure,Un155
156,"[#6R][#6X3R](=[OX1])[#7X3;$([H1][#6;!$(C=[O,N,S])]),$([H0]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])] (Lactam)",66,59,CDK_Substructure,Un156
175,"[#6][#6X3R;$([H0](=[NX2;!$(N(=[#6X3][#7X3])C=[O,S])])[#7X3;!$(N([#6X3]=[#7X2])C=[O,S])]),$([H0](-[NX3;!$(N([#6X3]=[#7X2])C=[O,S])])=,:[#7X2;!$(N(=[#6X3][#7X3])C=[O,S])])]   (Imidolactam)",70,60,CDK_Substructure,Un175
179,"[NX3,NX4+;!$([N]~[!#6]);!$([N]*~[#7,#8,#15,#16])][C][CX3](=[OX1])[OX2H,OX1-] (Alpha_aminoacid)",72,61,CDK_Substructure,Un179
181,"[NX3;$([N][CX3](=[OX1])[C][NX3,NX4+])][C][CX3](=[OX1])[NX3;$([N][C][CX3](=[OX1])[NX3,OX2,OX1-])] (Peptide_middle)",73,63,CDK_Substructure,Un181
182,"[NX3;$([N][CX3](=[OX1])[C][NX3,NX4+])][C][CX3](=[OX1])[OX2H,OX1-] (Peptide_C_term)",74,64,CDK_Substructure,Un182
183,"[NX3,NX4+;!$([N]~[!#6]);!$([N]*~[#7,#8,#15,#16])][C][CX3](=[OX1])[NX3;$([N][C][CX3](=[OX1])[NX3,OX2,OX1-])] (Peptide_N_term)",75,65,CDK_Substructure,Un183
189,"[#6X3](=[OX1])[#6X3]=,:[#6X3][#7,#8,#16,F,Cl,Br,I] (Vinylogous_carbonyl_or_carboxyl_derivative)",76,66,CDK_Substructure,Un189
190,"[#6X3](=[OX1])[#6X3]=,:[#6X3][$([OX2H]),$([OX1-])] (Vinylogous_acid)",77,67,CDK_Substructure,Un190
191,"[#6X3](=[OX1])[#6X3]=,:[#6X3][#6;!$(C=[O,N,S])] (Vinylogous_ester)",78,68,CDK_Substructure,Un191
192,"[#6X3](=[OX1])[#6X3]=,:[#6X3][#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])] (Vinylogous_amide)",79,69,CDK_Substructure,Un192
193,"[#6X3](=[OX1])[#6X3]=,:[#6X3][FX1,ClX1,BrX1,IX1] (Vinylogous_halide)",80,70,CDK_Substructure,Un193
197,[!#6][#6X3](=[!#6])[!#6] (Carbonic_acid_derivatives),81,71,CDK_Substructure,Un197
201,[#7X3;!$([#7][!#6])][#6X3](=[OX1])[#7X3;!$([#7][!#6])] (Urea),82,72,CDK_Substructure,Un201
202,[#7X3;!$([#7][!#6])][#6X3](=[SX1])[#7X3;!$([#7][!#6])] (Thiourea),83,73,CDK_Substructure,Un202
204,"[#7X2;!$([#7][!#6])]=,:[#6X3]([#16X2&!$([#16][!#6]),SX1-])[#7X3;!$([#7][!#6])] (Isothiourea)",84,74,CDK_Substructure,Un204
207,[#7X3][#6](=[OX1])[#8X2][#6] (Urethan),85,76,CDK_Substructure,Un207
231,[c]=[OX1] (Oxoarene),86,78,CDK_Substructure,Un231
234,[nX3H0+0] (Hetero_N_basic_no_H),88,80,CDK_Substructure,Un234
235,"[nX2,nX3+] (Hetero_N_nonbasic)",89,81,CDK_Substructure,Un235
237,[sX2] (Hetero_S),90,83,CDK_Substructure,Un237
263,[SX4D4](=[!#6])(=[!#6])([!#6])[!#6] (Sulfuric_derivative),94,85,CDK_Substructure,Un263
264,"[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[$([OX2H]),$([OX1-])] (Sulfonic_acid)",95,86,CDK_Substructure,Un264
265,"[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])] (Sulfonamide)",96,87,CDK_Substructure,Un265
268,"[SX4;$([H1]),$([H0][#6])](=[!#6])(=[!#6])[!#6] (Sulfonic_derivative)",97,88,CDK_Substructure,Un268
283,"[PX4;$([H1]),$([H0][#6])](=[OX1])([$([OX2H]),$([OX1-])])[$([OX2H]),$([OX1-])] (Phosphonic_acid)",99,89,CDK_Substructure,Un283
289,"[PX4;$([H1]),$([H0][#6])](=[!#6])([!#6])[!#6] (Phosphonic_acid_derivative)",100,90,CDK_Substructure,Un289
291,"[PX4D4](=[OX1])([$([OX2H]),$([OX1-])])([$([OX2H]),$([OX1-])])[OX2][#6;!$(C=[O,N,S])] (Phosphoric_monoester)",101,91,CDK_Substructure,Un291
