id;foldernumber;LC50_predicted;predform;predion;dtxsid
Einc270002;1;-0.879764199256897;C10H10O4;C10H10O4_[M+H]+;DTXSID3022455
Einc270011;10;-3.5791773796081543;C12H16N3O3PS2;C12H16N3O3PS2_[M+H]+;DTXSID5037498
SBinc270018;100;-1.0607271194458008;C8H14ClN5;C8H14ClN5_[M+H]+;DTXSID9020112
SBinc270019;101;-1.5584709644317627;C15H12N2O;C15H12N2O_[M+H]+;DTXSID4022731
SBinc270020;102;-2.1577401161193848;C9H6N2S3;C9H6N2S3_[M+H]+;DTXSID6032647
SBinc270021;103;-1.4864898920059204;C13H13FN2O2;C13H13FN2O2_[M+H]+;DTXSID4021135
SBinc270022;104;-1.7654833793640137;C15H12N2O2;C15H12N2O2_[M+H]+;DTXSID60891456
SBinc270023;105;-1.79872727394104;C11H19N5S;C11H19N5S_[M+H]+;DTXSID3032416
SBinc270024;106;-1.760756254196167;C15H14N2O2;C15H14N2O2_[M+H]+;missing
SBinc270025;107;-0.6484551429748535;C10H13N5O4;C10H13N5O4_[M+H]+;DTXSID1022558
SBinc270026;108;-1.9598677158355713;C14H16ClN3O;C14H16ClN3O_[M+H]+;DTXSID4058156
SBinc270027;109;-1.7443039417266846;C15H22ClNO2;C15H22ClNO2_[M+H]+;DTXSID4022448
Einc270012;11;-1.1447985172271729;C16H19N3O4S;C16H19N3O4S_[M+H]+;DTXSID4022602
SBinc270028;110;-1.441359043121338;C15H17ClN2O2;C15H17ClN2O2_[M+H]+;DTXSID6046555
SBinc270030;111;-2.176539897918701;C14H14Cl2N2O;C14H14Cl2N2O_[M+H]+;DTXSID8024151
SBinc270031;112;-2.082801103591919;C21H30O2;C21H30O2_[M+H]+;DTXSID3022370
SBinc270032;113;-0.9592478275299072;C15H23NO5S;C15H23NO5S_[M+H]+;DTXSID1037567
SBinc270033;114;-1.944683313369751;C16H17BClN3O3;C16H17BClN3O3_[M+H]+;DTXSID7029871
SBinc270034;115;-1.998000144958496;C21H23ClFNO2;C21H23ClFNO2_[M+H]+;DTXSID4034150
SBinc270035;116;-2.510087490081787;C26H28Cl2N4O4;C26H28Cl2N4O4_[M+H]+;DTXSID7029879
SBinc270036;117;-1.3296164274215698;C30H41FN2O10;C30H41FN2O10_[M+H]+;DTXSID7021237
